Index,QuestionId,QuestionTitle,Difficulty,TargetName,ModelLabel,Attempts,BestAttemptIndex,BestProvidedPassRate,BestGeneratedPassRate,BestCombinedPassRate,AverageCombinedPassRate,ProvidedSuccesses,CombinedSuccesses,OraclePassRate,GeneratedTests,DifficultyEstimate,FailureCategory,BenchmarkQualitySignal,EfficacyLabel,Suspicious,NeedsAudit,ProvidedPass@1,CombinedPass@1,ProvidedPass@2,CombinedPass@2
0,146030,Advanced Constraint-Solving Topics,medium,openai-gpt-5-mini,openai:gpt-5-mini,2,1,0.0,0.0,0.0,0.0,0,0,1.0,3,unknown,generation_failure,clean_evaluation,Inconclusive,False,False,0.0,0.0,0.0,0.0
1,146032,Advanced Constraint-Solving Topics,hard,openai-gpt-5-mini,openai:gpt-5-mini,2,1,0.8205,0.0,0.7619,0.7024,0,0,1.0,3,reasonable,logical_or_edge_failure,clean_evaluation,High Efficacy,False,False,0.0,0.0,0.0,0.0
2,146031,Advanced Constraint-Solving Topics,hard,openai-gpt-5-mini,openai:gpt-5-mini,2,1,0.8125,0.6667,0.7895,0.7895,0,0,1.0,3,reasonable,logical_or_edge_failure,clean_evaluation,High Efficacy,False,False,0.0,0.0,0.0,0.0
3,146037,Advanced Constraint-Solving Topics,hard,openai-gpt-5-mini,openai:gpt-5-mini,2,2,0.7059,0.6667,0.7027,0.6892,0,0,1.0,3,reasonable,logical_or_edge_failure,clean_evaluation,High Efficacy,False,False,0.0,0.0,0.0,0.0
4,146048,Advanced Constraint-Solving Topics,hard,openai-gpt-5-mini,openai:gpt-5-mini,2,1,1.0,1.0,1.0,1.0,2,2,1.0,3,trivial,clean_pass,clean_evaluation,Low Efficacy,False,False,1.0,1.0,1.0,1.0
5,146063,Advanced Constraint-Solving Topics,medium,openai-gpt-5-mini,openai:gpt-5-mini,2,2,0.9524,0.6667,0.9167,0.7084,0,0,1.0,3,reasonable,logical_or_edge_failure,clean_evaluation,Moderate Efficacy,False,False,0.0,0.0,0.0,0.0
6,146085,Advanced Constraint-Solving Topics,hard,openai-gpt-5-mini,openai:gpt-5-mini,2,1,0.5833,0.0,0.4667,0.3,0,0,1.0,3,reasonable,logical_or_edge_failure,clean_evaluation,High Efficacy,False,False,0.0,0.0,0.0,0.0
7,146100,Advanced Constraint-Solving Topics,hard,openai-gpt-5-mini,openai:gpt-5-mini,2,1,0.0,0.0,0.0,0.0,0,0,1.0,3,extreme,logical_or_test_failure,clean_evaluation,Moderate Efficacy,False,False,0.0,0.0,0.0,0.0
8,146099,Advanced Constraint-Solving Topics,easy,openai-gpt-5-mini,openai:gpt-5-mini,2,2,0.5455,0.0,0.4286,0.3571,0,0,1.0,3,reasonable,logical_or_edge_failure,clean_evaluation,High Efficacy,False,False,0.0,0.0,0.0,0.0
9,146105,Advanced Constraint-Solving Topics,hard,openai-gpt-5-mini,openai:gpt-5-mini,2,1,0.0,0.0,0.0,0.0,0,0,1.0,3,unknown,generation_failure,clean_evaluation,Inconclusive,False,False,0.0,0.0,0.0,0.0
10,146110,Algorithmic Paradigms & Patterns,hard,openai-gpt-5-mini,openai:gpt-5-mini,2,1,0.8,0.6667,0.7778,0.7778,0,0,1.0,3,reasonable,logical_or_edge_failure,clean_evaluation,High Efficacy,False,False,0.0,0.0,0.0,0.0
11,146109,Algorithmic Paradigms & Patterns,medium,openai-gpt-5-mini,openai:gpt-5-mini,2,1,1.0,0.6667,0.9565,0.9347,1,0,1.0,3,trivial,clean_pass,clean_evaluation,Low Efficacy,False,False,0.5,0.0,1.0,0.0
12,146115,Algorithmic Paradigms & Patterns,hard,openai-gpt-5-mini,openai:gpt-5-mini,2,1,0.4348,0.3333,0.4231,0.4231,0,0,1.0,3,reasonable,logical_or_edge_failure,clean_evaluation,High Efficacy,False,False,0.0,0.0,0.0,0.0
13,146119,Algorithmic Paradigms & Patterns,easy,openai-gpt-5-mini,openai:gpt-5-mini,2,2,1.0,1.0,1.0,0.6923,1,1,1.0,3,trivial,clean_pass,clean_evaluation,Low Efficacy,False,False,0.5,0.5,1.0,1.0
14,146120,Algorithmic Paradigms & Patterns,medium,openai-gpt-5-mini,openai:gpt-5-mini,2,1,1.0,1.0,1.0,1.0,2,2,1.0,3,trivial,clean_pass,clean_evaluation,Low Efficacy,False,False,1.0,1.0,1.0,1.0
15,146123,Algorithmic Paradigms & Patterns,easy,openai-gpt-5-mini,openai:gpt-5-mini,2,2,0.9333,0.5,0.8824,0.7941,0,0,1.0,2,reasonable,logical_or_edge_failure,clean_evaluation,Moderate Efficacy,False,False,0.0,0.0,0.0,0.0
16,146117,Algorithmic Paradigms & Patterns,easy,openai-gpt-5-mini,openai:gpt-5-mini,2,1,1.0,1.0,1.0,1.0,2,2,1.0,3,trivial,clean_pass,clean_evaluation,Low Efficacy,False,False,1.0,1.0,1.0,1.0
17,146130,Algorithmic Paradigms & Patterns,hard,openai-gpt-5-mini,openai:gpt-5-mini,2,1,0.5,1.0,0.5556,0.5,0,0,1.0,3,reasonable,logical_or_edge_failure,clean_evaluation,High Efficacy,False,False,0.0,0.0,0.0,0.0
18,146121,Algorithmic Paradigms & Patterns,easy,openai-gpt-5-mini,openai:gpt-5-mini,2,1,0.8667,0.3333,0.7778,0.75,0,0,1.0,3,reasonable,logical_or_edge_failure,clean_evaluation,High Efficacy,False,False,0.0,0.0,0.0,0.0
19,146127,Algorithmic Paradigms & Patterns,easy,openai-gpt-5-mini,openai:gpt-5-mini,2,1,0.48,0.3333,0.4643,0.4643,0,0,1.0,3,reasonable,logical_or_edge_failure,clean_evaluation,High Efficacy,False,False,0.0,0.0,0.0,0.0
